symbol,regime,vol_ratio,rsi_strength,rsi_div_regular,rsi_div_hidden,macd_div,sentiment_fg,mtf_bias,confluence_score,entry_to_sl,direction_encoded,outcome_win,duration_candles,r_multiple
ETHUSDT,VOLATILE,1.4653442729245096,0.19501970844021826,0,0,0,50,0.0,0.07,1.4999999842650686,1.0,0,31,-1.0
ETHUSDT,CHOPPY,0.6901156457105077,0.46673929325253627,0,0,0,50,0.0,0.08,1.500000026705339,1.0,0,1,-1.0
ETHUSDT,CHOPPY,0.7196382113138012,0.5106834936898664,1,0,0,50,0.0,0.08,1.4999999748445838,1.0,0,1,-1.0
ETHUSDT,NORMAL,0.8044834266410943,0.6861510791366919,0,0,0,50,0.0,0.08,1.500000021576967,1.0,0,15,-1.0
ETHUSDT,NORMAL,0.9511820434096233,0.3102476816527843,1,0,1,50,0.0,0.07,1.500000000000008,-1.0,0,14,1.079
BNBUSDT,NORMAL,0.8284468108553288,0.02259215219976184,0,0,0,50,0.0,0.07,1.5000001806451764,-1.0,1,3,1.333
BNBUSDT,NORMAL,0.9839101074578174,0.16120689655172582,0,0,0,50,0.0,0.08,1.500000000000006,-1.0,1,8,1.333
BNBUSDT,VOLATILE,1.203027986621122,0.1840833023428759,0,0,0,50,0.0,0.08,1.500000117706394,-1.0,0,4,-1.0
BNBUSDT,VOLATILE,1.5104567915645324,0.21298543689320312,0,0,0,50,0.0,0.07,1.4999998999285282,-1.0,0,8,-1.0
BNBUSDT,VOLATILE,1.555576490573267,0.40988517224163845,0,0,0,50,0.0,0.08,1.5000000881279179,-1.0,0,2,-1.0
BNBUSDT,VOLATILE,1.4556837711760415,0.31944444444444686,0,0,0,50,0.0,0.07,1.4999999041489949,-1.0,0,7,-1.0
BNBUSDT,NORMAL,1.1664791954175129,0.21551041941440174,0,0,0,50,0.0,0.07,1.5000001003440409,1.0,0,30,-1.0
BNBUSDT,NORMAL,0.9041009040511323,0.31921824104234586,1,0,1,50,0.0,0.07,1.5000000000000142,1.0,1,2,1.333
BNBUSDT,CHOPPY,0.7904728803667067,0.03067484662576888,0,0,0,50,0.0,0.07,1.4999998501712428,1.0,0,3,-1.0
BNBUSDT,NORMAL,0.8317039524980501,0.17302631578947283,0,0,0,50,0.0,0.08,1.5000000000000016,1.0,1,9,1.333
BNBUSDT,NORMAL,1.038862504875303,0.18847131958180555,1,0,1,50,0.0,0.07,1.500000000000007,1.0,1,11,1.333
BNBUSDT,NORMAL,0.9377089797356397,0.7207956600361652,0,0,0,50,0.0,0.07,1.4999998921749758,1.0,0,2,-1.0
BNBUSDT,NORMAL,1.133113183994914,0.009477224090494047,0,0,0,50,0.0,0.07,1.5000000954458916,1.0,0,1,-1.0
