timestamp,rsi,rsi_6,rsi_21,macd_hist,macd_cross,adx,stoch_k,stoch_d,stoch_cross,bb_width,bb_pct_b,bb_squeeze,kc_pct,roc_10,roc_20,ema_ratio,price_vs_ema_trend,atr,atr_pct,hist_vol,vol_ratio,vol_ratio_20,vol_ratio_5,obv_diff,mfi,candle_body,candle_wick_hi,candle_wick_lo,range_pct,regime,hidden_div,confluence,hour_of_day,day_of_week,month,hour_sin,hour_cos,dow_sin,dow_cos,rsi_1h,rsi_1h_6,vol_1h,atr_1h,macd_hist_1h,symbol
2024-03-21 08:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0,1,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0,0.0,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.7402281183125479,0.0,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.03269137400873945,1,0,0.0,8,3,3,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419,59.133130417439425,96.12751102225096,0.41166548686352683,0.009904290113094018,0.0,XRPUSDT
2024-03-21 12:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0011678632478632877,1,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0032222091794811,0.028422003518280836,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.7402281183125479,161916209.1818182,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.06444514303678077,1,0,1.5,12,3,3,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419,59.133130417439425,96.12751102225096,0.41166548686352683,0.009904290113094018,0.0010680310293313758,XRPUSDT
2024-03-21 16:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0018232106557575989,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.00545866822803,0.02696707686720394,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.7402281183125479,282344.05785124004,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.029559748427672842,1,0,1.5,16,3,3,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,-0.900968867902419,59.133130417439425,96.12751102225096,0.41166548686352683,0.009904290113094018,0.003061700632873475,XRPUSDT
2024-03-21 20:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0024123744578884825,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0077425272181668,0.03269204681589921,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.7402281183125479,79655204.50187829,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.02201748906933167,1,0,1.5,20,3,3,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,59.133130417439425,68.718666331418,0.41166548686352683,0.009904290113094018,0.0021309524906438834,XRPUSDT
2024-03-22 00:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0023812222862486495,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0085389989161504,0.02503212910289301,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.7402281183125479,-19651554.40755412,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.04101838755304104,1,0,1.5,0,4,3,0.0,1.0,-0.433883739117558,-0.9009688679024191,59.133130417439425,46.72625746885168,0.41166548686352683,0.009904290113094018,0.00043957279534460793,XRPUSDT
2024-03-22 04:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.002142545065889887,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0087501855222298,0.022173088860947817,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.6790170431224407,-88106956.69708973,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.014643363249881868,1,0,1.5,4,4,3,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,60.96829869891445,58.514243810358145,0.41166548686352683,0.009427538783842112,-0.0006591387312126027,XRPUSDT
2024-03-22 08:00:00+00:00,54.23177504931895,30.0526866194255,58.37312718894468,0.0006390875437753411,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0054282463537527,-0.008234525368533864,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,1.05509363310112,-170637775.9339825,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.039285714285714285,1,0,1.5,8,4,3,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,50.064957167395654,40.50595907200935,0.8914362034974224,0.008798584839788482,-0.0013577647772220038,XRPUSDT
2024-03-22 12:00:00+00:00,54.23177504931895,25.189734033708532,58.37312718894468,-0.0006990688900612605,1,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,1.0019828762005154,-0.01612062075424679,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,1.4051478807174798,-270489114.7641675,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.03880792533158661,1,0,-0.5,12,4,3,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,44.322864252114954,37.48437623969419,0.6196450932213929,0.008799898001072441,-0.0026781226552564713,XRPUSDT
2024-03-22 16:00:00+00:00,54.23177504931895,29.575969167684192,58.37312718894468,-0.0014151524665877344,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,0.9997305743876818,-0.012863778686715422,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.5817638189333387,-170446629.89795524,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.01730894839973864,1,0,-1.5,16,4,3,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,38.225489771906716,32.60794189314434,0.8122359057415532,0.009422024333835634,-0.0034426038896288066,XRPUSDT
2024-03-22 20:00:00+00:00,54.23177504931895,28.513877918740462,58.37312718894468,-0.001866495050551357,0,77.75405570992696,52.22816399286993,45.41118658765719,0,0.06541473507707245,0.6993422691848776,0,0.6906158657947524,-1.488914063764361,1.942061822301345,0.997934182046234,-0.013760873126296829,0.017365569007681294,0.027660989180760265,0.9581232831948223,0.736982241948751,0.6223703936235524,0.48015411848029005,-176883893.098327,59.383366123320364,0.5009913580229809,0.29368458918588364,0.023034085426341305,0.01749795584627971,1,0,-1.5,20,4,3,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,45.05802257608336,49.39322371706929,0.3504689258656518,0.00826912060075696,-0.0012821818988927591,XRPUSDT
